                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0112,                 0.7249,                 1.2713,                0.60928,                0.67537,                 0.6421,                0.37507,                 1.5478,                 1.4668,                 1.8046,             0.00030006,             0.00030006,             0.00030006
                      2,                 1.0964,                0.75924,                 1.3108,                0.71718,                0.62231,                0.66845,                0.37707,                  1.551,                 1.2643,                 1.7567,             0.00061475,             0.00061475,             0.00061475
                      3,                 1.1739,                0.84818,                 1.3329,                0.61977,                0.61816,                0.63244,                 0.3495,                 1.6273,                 1.2295,                 1.7505,             0.00092736,             0.00092736,             0.00092736
                      4,                   1.22,                0.86972,                 1.3365,                0.69505,                0.61031,                 0.6671,                0.36976,                 1.5659,                 1.3516,                 1.6965,              0.0012379,              0.0012379,              0.0012379
                      5,                 1.3169,                0.94311,                 1.4109,                0.63012,                0.65796,                0.64141,                0.34476,                   1.64,                 1.3348,                 1.7364,              0.0015463,              0.0015463,              0.0015463
                      6,                 1.3146,                0.94362,                 1.4224,                0.61407,                0.53731,                0.57142,                 0.3039,                 1.7123,                 1.7919,                 1.8654,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.3628,                0.97547,                 1.4278,                0.57243,                0.62203,                0.59391,                0.30652,                 1.7311,                 1.4794,                 1.8472,               0.001634,               0.001634,               0.001634
                      8,                 1.3127,                0.91305,                 1.4114,                 0.6532,                0.53918,                0.59219,                 0.2846,                 1.8491,                 1.4162,                 1.9931,              0.0016285,              0.0016285,              0.0016285
                      9,                   1.37,                0.94942,                 1.4462,                0.61208,                0.56253,                0.58946,                0.28263,                 1.7714,                 1.4869,                 1.9125,               0.001623,               0.001623,               0.001623
                     10,                 1.3098,                 0.9364,                 1.4222,                0.13291,                0.52049,                0.10737,                0.05235,                 1.7732,                 5.8987,                 1.8818,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.3066,                0.91834,                 1.4231,                0.66778,                0.62935,                0.65513,                0.35481,                 1.6371,                  1.355,                 1.8268,               0.001612,               0.001612,               0.001612
                     12,                 1.3223,                0.92626,                 1.3926,                0.62321,                0.64797,                0.64033,                 0.3525,                 1.6006,                 1.3764,                 1.7554,              0.0016065,              0.0016065,              0.0016065
                     13,                  1.312,                0.93884,                 1.4094,                0.64235,                 0.5908,                 0.6287,                0.34532,                  1.634,                 1.4647,                 1.7756,               0.001601,               0.001601,               0.001601
                     14,                 1.2615,                0.89812,                 1.4153,                 0.6009,                0.56903,                0.57108,                0.30583,                 1.7101,                 1.9097,                 1.8174,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.2922,                0.94176,                 1.4007,                0.58575,                0.62765,                0.64674,                0.35271,                 1.6284,                  1.356,                 1.7796,                0.00159,                0.00159,                0.00159
                     16,                 1.3094,                0.94399,                 1.3874,                0.68991,                0.57692,                0.64127,                0.33909,                 1.7282,                  1.524,                 1.8202,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.2916,                0.89265,                 1.3717,                0.71487,                0.60108,                0.69739,                0.37961,                 1.6142,                  1.197,                 1.7736,               0.001579,               0.001579,               0.001579
                     18,                 1.2535,                 0.8603,                 1.3557,                0.78868,                 0.6468,                0.74802,                0.42871,                 1.5135,                 1.0297,                 1.6591,              0.0015735,              0.0015735,              0.0015735
